url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_50,Date of visit: December 2023,"Good food, plenty of food options, reasonable prices, good service.

We went there for breakfast and lunch with a family group. Overall very happy with the place."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: February 2020,We were told by locals this was the best around.....when we arrived it was wall to wall with tourists. Food 8/10 even though they got the order wrong.   Dishes were huge.   Being touristy the prices were higher for local dishes.
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: February 2020,"they have a decent selection of food, they even have a bakery next door. Try the rice and curry, the pork is pretty spicy, most people probably cannot take the spice. 2 meat and 2 veg plus a drink cost 450. Their staff is very...attentive, however need to note that while i was eating dinner, mosquitoes were eating  attentive, however need to note that while i was eating dinner, mosquitoes were eating me."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_30,Date of visit: February 2020,"If you can handle HOT intense spice, go for it. The food is dirt cheap. If you are like most foreigners and need the spice level toned down some, avoid this place. It is all pre made and caters to the local crowd. I have...been travelling in India and Sri Lanka for 7 mos and this is by far the spiciest food we had. Couldn’t even get through ha been travelling in India and Sri Lanka for 7 mos and this is by far the spiciest food we had. Couldn’t even get through half."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: November 2019,"Serves Sri Lankan buffet along with Fried rice and Kitty. They serve Pork and at certain days Red rice as well. Reasonably priced, tasty food along with good service. This restaurant faces the main road.

If you are in a rush, needs quick food, try...this. They have a pastry shop as we this. They have a pastry shop as well."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: September 2019,"I tried the chiken kottu , fried rice and pasta from there. Out of them kottu was perfect. And theres a small away outlet for snacks as well.

There s ample parking and if you are looking for great affordable food give this a go."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_30,Date of visit: August 2019,"The food options are limited here. We visited for a lunch and there was only Srilankan rice & curry and fried rice with chicken. This is a very specious place and prices are very reasonable. Its a huge place with no air conditioning or fans....If you want to have a formal meal, this is not the place. Its good for a quick meal and  If you want to have a formal meal, this is not the place. Its good for a quick meal and go."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: August 2018,"Walkers is a wonderful restaurant that serves very good food at relatively low prices (a good meal of rice and curry arranged with buffet can cost only about US $ 3 or less).  The food is fresh and kept warm and also if you need...snacks, those are also available at very reasonable prices. So, an ideal place to have food if you are backpacking and a three wheel taxi can take you to Walkers for less than Rs 150/= when you are at Anuradhapura town.  I make it a point to visit Walkers for most of our food needs and to buy bottled water when I stay close to Walke snacks, those are also available at very reasonable prices. So, an ideal place to have food if you are backpacking and a three wheel taxi can take you to Walkers for less than Rs 150/= when you are at Anuradhapura town.  I make it a point to visit Walkers for most of our food needs and to buy bottled water when I stay close to Walkers."
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_50,Date of visit: January 2019,self service cafe style meals . very good value. more like canteen . Authentic Sri Lanka curries. good budget food
https://www.tripadvisor.com/Restaurant_Review-g304132-d8429036-Reviews-Walkers-Anuradhapura_North_Central_Province.html,bubble_40,Date of visit: February 2019,The buffet was delicious. Can really load your plate up with a variety of meat or vegetarian dishes. It was really hot in the restaurant but worth it for the food. Didn't go into the take away style shop next door but it looked pretty...impressive t impressive too.
