url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: February 2024,Delicious food. Excellent Service. Nice Ambiance. Tourist looking for Indian veg food  . This is the perfect place to be here.
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: January 2024,"The service is top notch, The food is also a cut above
 the servers, the management is very friendly , it felt like home.
 will definitely visit again."
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: January 2024,"Loved the ambience of the restaurant, very friendly service. Delightful & authentic Indian food. Highly recommended. I was here on Jan 1st 2024"
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: December 2023,Great Indian cuisine with good Indian variety and option at Bentota. Excellent service at reasonable price.
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: November 2023,"The food and service is awesome and I recommend this place for a delightful Indian food

Gayan has been a very good manager"
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: October 2023,very friendly service and food was amazing. will come back for sure. we really enjoyed the place and the vibe. it was amazing
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: September 2023,This restaurant food quality and services are top-class. You should try it once. Well done team. Highly suggested.
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: October 2023,"Had a fantastic meal here! Appetisers, side and main dishes were all delicious! Staff were attentive and could not fault the aesthetics of the restaurant."
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: October 2023,"Excellent Indian food and very good Ambience, with best quality Paneer, Dal Makhani (indian style)."
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: October 2023,We had the best north Indian experience in Sri Lanka.. Authentic Indian food with great service.. Must visit
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: October 2023,"At last a proper Indian Restaurant with  authentic Indian food. What a delight. 
This is a new restaurant and is well laid out and has air conditioning. 
Waiters are very friendly and as efficient as they could be given they were faced with a rather...noisy table of eight.
The food is delicious, well cooked and of high quality.  My home style chicken curry was as close to my favourite Madras as I've had in this country. My husband's chicken tikka masala was full of flavour and delicious.
And draught Lion beer, scrummy.
We will be b noisy table of eight.
The food is delicious, well cooked and of high quality.  My home style chicken curry was as close to my favourite Madras as I've had in this country. My husband's chicken tikka masala was full of flavour and delicious.
And draught Lion beer, scrummy.
We will be back"
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: September 2023,the food was amazing here and the variety and taste was amazing.propbably one of the best indian restaurants in bentota.
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_40,Date of visit: September 2023,"Food is good, service is also good here, staff is friendly and the taste is authentic Indian food taste"
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: September 2023,"Surely would recommend this place, food was tasty and authentic. Would recommend for all indian cuisine fans"
https://www.tripadvisor.com/Restaurant_Review-g297895-d26441193-Reviews-The_Cuisine_Delight_TCD-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: September 2023,I highly recommend to try the Delicious food with your family or friends Excellent service along with the beautiful presentation of food.
https://www.tripadvisor.com/Restaurant_Review-g297895-d1717300-Reviews-Malli_s_Seafood_Restaurant-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"We had a beautiful table by the water. Great service, food was amazing and very reasonable. We had the pleasure of speaking with the owner, his hard work has paid off  stunning location set in 2 acres.More"
https://www.tripadvisor.com/Restaurant_Review-g297895-d1717300-Reviews-Malli_s_Seafood_Restaurant-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"We were a party of 15 and had  an amazing evening .
The setting is beautiful but the food was absolutely delicious .
Very attentive staff too .
We will be visiting again before we go home .More"
https://www.tripadvisor.com/Restaurant_Review-g297895-d1717300-Reviews-Malli_s_Seafood_Restaurant-Bentota_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"This has certainly been the best restaurant to date that we have eaten in Bentota. The staff were really friendly and the young man who served us had a wonderful sense of humour.
The quality of the food was very good and I had the...Sri Lankan fish curry which was excellent, great flavours and they will ask you how spicy or not you would like it. My wife had the mahi mahi, which she said was very good also. Would highly recommend to anyone staying in the ar Sri Lankan fish curry which was excellent, great flavours and they will ask you how spicy or not you would like it. My wife had the mahi mahi, which she said was very good also. Would highly recommend to anyone staying in the area."
