url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_50,Date of visit: February 2024,"We got recommendation for this restaurant from our host. It is a nice place with very reasonable prices, food tasted very good.  I would come back to this place."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_50,Date of visit: November 2023,"Really nice place. 
You need to go to the second floor, the shop on the pictures is not a part of the actual restaurant. 
The restaurant is nice, calm, pretty and has a good atmosphere. 
The food was really great and the service was good."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_50,Date of visit: November 2023,"It might not look much from the outside but this place is a gem in an otherwise diabolical food scene on Dambulla.
We ate here twice on a two night stay in Dambulla as they offer a welcome alternative to the typical Sri Lanka buffet...restaurant. It looks like a cafeteria yet is full of locals so we knew we were in the right place.
There is a restaurant upstairs which looks on the expensive side yet it's not. You can order what is from the more local menu downstairs and more. On our first night  we had prawn kadai and chicken masala with soft drinks. Both were excellent and finished off with a dessert downstairs. The bill came to less than 2000SLR (£5). We honestly couldn't believe the price. 
The next night we tried and tried to find somewhere with more of a restaurant vibe, however after looking endlessly on TripAdvisor, Google, etc there was no where that took our fancy. Dambulla is not the place for a foodie.
The second night we had a mixture of curry, naan, samosas, rotti, biryani and Mongolian stew. It was all fantastic and we sat downstairs. It's nothing fancy but the food outweighs everything. This meal with two ginger beers cost 2600SLR (£6.5 restaurant. It looks like a cafeteria yet is full of locals so we knew we were in the right place.
There is a restaurant upstairs which looks on the expensive side yet it's not. You can order what is from the more local menu downstairs and more. On our first night  we had prawn kadai and chicken masala with soft drinks. Both were excellent and finished off with a dessert downstairs. The bill came to less than 2000SLR (£5). We honestly couldn't believe the price. 
The next night we tried and tried to find somewhere with more of a restaurant vibe, however after looking endlessly on TripAdvisor, Google, etc there was no where that took our fancy. Dambulla is not the place for a foodie.
The second night we had a mixture of curry, naan, samosas, rotti, biryani and Mongolian stew. It was all fantastic and we sat downstairs. It's nothing fancy but the food outweighs everything. This meal with two ginger beers cost 2600SLR (£6.50)."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_40,Date of visit: December 2022,"Great Kottu, and very friendly staff! Great for children. Reasonably priced, with a fun bakery downstairs too. Lucky, as it was one of the few places that was open on our visit."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_30,Date of visit: March 2022,"I was in search of a Sri Lankan kottu and was brought here on recommendation from my taxi driver.
I enjoyed the chicken kottu but was not overwhelmed by it, especially since the few pieces of chicken in the kottu were very dry and over...cooked.
The prawn biryani my husband ordered was also not overwhelming in flavour especially since the prawns were more shrimp in size, and not flavoursome, but merely an additional afterthought to the biryani rice.
Admittedly we visited at an awkward time so the restaurant had no ambience.
But at least I got to try my first kottu in Dambul cooked.
The prawn biryani my husband ordered was also not overwhelming in flavour especially since the prawns were more shrimp in size, and not flavoursome, but merely an additional afterthought to the biryani rice.
Admittedly we visited at an awkward time so the restaurant had no ambience.
But at least I got to try my first kottu in Dambulla!"
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_40,Date of visit: August 2020,"We went there for dinner at around 8 pm and were obviously too late because the curries section was down to 3 choices, many empty pots. The baked goods selection, however, was nice - good variety of savoury and sweet stuff. Most things we tried...were of good quali were of good quality."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_30,Date of visit: January 2020,"Due to inadequate understanding of English also, we had a problem. We could not get them to understand how to get what food."
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_10,Date of visit: December 2019,I had been a regular customer of Benthota Bake house Dambulla. During this period Several times I hapend to experience some worst services I have had. Ladies who are there to serve foods and in the front counter do not know how to treat people....👎👎👎👎👎👎👎Teri 👎👎👎👎👎👎👎Terible
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_20,Date of visit: December 2019,"The place is clean, but the waiters can't speak a word in English, and after an everlasting waiting we'had understood that he didn't sign our order..ok we can wait.. But i can't tolerate they push me cuz it's closing time, since it's their fault me...still sitting h still sitting here"
https://www.tripadvisor.com/Restaurant_Review-g304133-d3417340-Reviews-Benthota_Bake_House-Dambulla_Central_Province.html,bubble_40,Date of visit: December 2019,I ate on the second floor of the Bake House for dinner. I thoroughly enjoyed all of the meals that were served to me and the waiters were lovely. Each meal had different unique flavours and met all of my standards of a delicious meal....I would definitely eat there aga I would definitely eat there again.
