url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: August 2021,This is all about thanking Mr.Rukshan for the exclusive service of you and your staff. I visited shore by o on a Friday it was so happening with a live band. Impressed on the way how they are following the covid rules. Food was amazing....Cocktails were so good. Thank you so very much. I am hoping to visit this weekend t Cocktails were so good. Thank you so very much. I am hoping to visit this weekend too.
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: August 2021,"95 / 100 minimum
What a lovely restaurant, good food and service and atmosphere, definitely hope to go back.😍😘"
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_10,Date of visit: August 2021,The worst place to have a lunch date. Really disappointed. Food was old and tasted terrible. The lime that was use to make the lime soda was years old.
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_30,Date of visit: January 2021,"Bought a Meat kottu, its taste terrible and clearly taste like ready made kottu pack from a supermarket. Don’t ever buy a Kottu from this place and it’s a disgrace for name “KOTTU” the way they have prepared it"
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: January 2021,"Wow!awesome place nice food,awesome alcohol. Mahen and rukshan are the  best hosts in whole of sri lanka. Mahen specially made us feel at home and he is the absolute best. Mahen is an absolutely valuable asset to shore by O. I met him just today...and he took care of all of us (10 people) and I wish him all the best for the future. . Thank you so mu and he took care of all of us (10 people) and I wish him all the best for the future. . Thank you so much!"
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_30,Date of visit: July 2020,"The staff were very friendly & helpful, good selection of drinks, ordered a mixed grilled meat platter which was quite average (side of mashed potatoes could improve), DJ definitely contributed in making the evening more enjoyable."
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: October 2019,"situated right on the beach , perfect place to party , went with my office colleagues, food is good.."
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: January 2020,great ambience for a party. small groups hangout. very good dj music. just by the beach. good food and good drinks. cocktails and Drinks served in good quantity. good for family outing during day or early evening.
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: January 2020,"Great music, great atmosphere, lit up on fairy lights, very friendly staff. First night in Sri Lanka, staying at the hotel opposite.
Ordered a lion beer and the local fresh crab curry, with rice and a coconut satay sambol. Was lush, nice amount of kick....And my partner said it was her best mojito of her trip, and shes been here three months, plenty of testing lol. 
Would recommend very much.
Jon and Clare from Cornwall And my partner said it was her best mojito of her trip, and shes been here three months, plenty of testing lol. 
Would recommend very much.
Jon and Clare from Cornwall UK"
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_20,Date of visit: December 2019,"Went to have dinner by the sea... what a disappointment. Ordered grilled lobster and garlic Jumbo prawns... To start with there was no garlic in the prawns. The only taste you could sense in the lobster was cheddar cheese. Such a waste. In addition We...ordered fries but were served rice. Our most expensive dinner in Sri Lanka was by far the worst. 

Drinks were  ordered fries but were served rice. Our most expensive dinner in Sri Lanka was by far the worst. 

Drinks were ok."
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: June 2019,We visit here quite often & loved the place. Food & drinks are on reasonable prices. Very cozy surrounding facing to the beach. Live music playing in the weekend.
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: December 2019,"Was ok, but no more then that.        
Fish portion was nice but quite small.
Pizza/burger dishes was ok for a beach restaurant."
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: September 2019,Great ambience and good food. The restaurant is overlooking the beach. The service and order delivery time is decent.
https://www.tripadvisor.com/Restaurant_Review-g499079-d5601882-Reviews-The_Shore_By_O-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: August 2019,We visited this place with a friend who had just arrived from down under. That evening was very humid but there was a sudden shower. We were warmly welcomed by the staff. The Food and Drink were really good. The food was freshly prepared and...was very tasty. In fact the quality of the food was lovely compared to some places we had visited in Moratuwa in the past. The variety on the Menu card is excellent and you have a good choice. We will visit that place again for su was very tasty. In fact the quality of the food was lovely compared to some places we had visited in Moratuwa in the past. The variety on the Menu card is excellent and you have a good choice. We will visit that place again for sure.
