url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: March 2024,What an amazing evening. The food was the best we have had in Sri Lanka and we have been here for 4 weeks. And there was so much of it! The outdoor setting is beautiful and we had a great time talking Buddhism and living...in the moment. We were served by the owners son who was brilliant at service and explaining the dishes. We walked there from Marissa and it took 70 minutes so you may want to get a tuk-tuk. It was late when we left and the owner drove us back to Marissa. Beat that! Highly recommend in the moment. We were served by the owners son who was brilliant at service and explaining the dishes. We walked there from Marissa and it took 70 minutes so you may want to get a tuk-tuk. It was late when we left and the owner drove us back to Marissa. Beat that! Highly recommended.
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: January 2024,"Wow! Like really, wow! I just wanted some good curry for my last night in Sri Lanka 
and stumbled upon this little gem on tripadvisor. And the vibe here is truly magical!

The garden wich you dine in is truly magical, with so many different...plants and bird songs. 

And the food, OMG, hand on heart I can say this is one of the best meals I've ever had. Not to mention the best curry! Five different curries and different side dishes, all equally good! 

The only shame was that I discovered this fantastic little place on my last day in Sri Lank plants and bird songs. 

And the food, OMG, hand on heart I can say this is one of the best meals I've ever had. Not to mention the best curry! Five different curries and different side dishes, all equally good! 

The only shame was that I discovered this fantastic little place on my last day in Sri Lanka.."
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: January 2024,"Absolutely mind blowing! Exceptional food made with love. An amazing family who welcomed us into their home and made our Sri Lankan trip.
A must for anyone who appreciates great cuisine in a setting that salutes nature and all the beauty that is Sri Lanka.i"
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: December 2023,"This is the most authentic experience with food ( and not only!) you can ever get! Unique place with unique people who will offer the best!
We got several types of curry, and all of them tasted like heaven! It will be difficult now to...find something tastier! Really! Must visit in Sri Lan find something tastier! Really! Must visit in Sri Lanka!"
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: June 2023,"I came for the cooking class to learn how to make the delicious sri lankan veggie curries. It was June. I was the only one in the class and the price was more than reasonable.

I forgot her name but the recipes she taught me...were authentic, simple and absolutely delicious. I was able to write everything down to take home with me.

The local coconut oil, drinking the water out of the coconut and then shredding the beautiful flesh to make coconut sambar and recieving a local coconut oil recipe for hair care were a couple of other highlights.

I had a nap in the tree house after I ate.

The owner was very friendly and welcoming, open to speaking about life and truth.

Thank you guys

Love
Nel were authentic, simple and absolutely delicious. I was able to write everything down to take home with me.

The local coconut oil, drinking the water out of the coconut and then shredding the beautiful flesh to make coconut sambar and recieving a local coconut oil recipe for hair care were a couple of other highlights.

I had a nap in the tree house after I ate.

The owner was very friendly and welcoming, open to speaking about life and truth.

Thank you guys

Love
Nelson"
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: April 2023,"We are so glad we came here ! 

The owners are very special, we arrived and were the only ones there which was already quite mysterious, the food took time but for the meal that arrived you know why! The owners wife has a gift...for cooking! What an incredible array of dishes thats are vegan but honestly some of the best began food I've ever tried and I'm not  predominantly vegan but that not all the soulful owner arrived and began discussing some very in depth concepts with us of a spiritual nature and enhanced our experience that much more. What a great pla for cooking! What an incredible array of dishes thats are vegan but honestly some of the best began food I've ever tried and I'm not  predominantly vegan but that not all the soulful owner arrived and began discussing some very in depth concepts with us of a spiritual nature and enhanced our experience that much more. What a great place."
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: March 2023,"To visit this place feels like entering a church, where the vicar and his family serves food from heaven and the gospel is preached via the senses."
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: January 2023,amazing location in the jungle. the family are so friendly. cooking class is super interesting and authentic. loved it !!
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: October 2022,"I visited just once unfortunately but tasted the best rice and curry in all of Sri Lanka !!! The place is amazingly beautiful and  very clean !!! I sat there for more than 3 hours and except for the nice lunche  , I spoke a...lot with the owner (Dashun)* a very nice man !! Many thanks my friend and for sure I ll be back  lot with the owner (Dashun)* a very nice man !! Many thanks my friend and for sure I ll be back 🙏🙏🙏"
https://www.tripadvisor.com/Restaurant_Review-g1407334-d15010432-Reviews-Cosmic_Power_Woody_Cottage-Mirissa_Southern_Province.html,bubble_50,Date of visit: May 2022,"This is a very good place for a pleasant conversation with the owner of the cafe. The curry is delicious, his wife cooks it! Large portions, good serving. You'll lick your fingers! The cafe is located among the greenery in solitude with nature."
