url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: December 2023,"If you like white Christmas there only one hotel to go during Christmas it’s all white complete canopy of clouds. Excellent service excellent food too. If you like high elevation living you can stay at the flowerdew suit 750 sq.ft. Space you. 
Large garden and...the property is very well maintained by the hotel staff, staff is always with a  smile willing to help you all the time, no is not an answer in this property staff they will go an extra mile to satisfy you. Hats off to everyone. 
See you aga the property is very well maintained by the hotel staff, staff is always with a  smile willing to help you all the time, no is not an answer in this property staff they will go an extra mile to satisfy you. Hats off to everyone. 
See you again."
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: December 2023,"Our stay at this hotel was warm, cozy and heavenly....made more so by the location... up, up in the misty mountains...the warmth of the interior décor and its truly wonderful people...
Sithari looked after us from the entry to the exit, looking after and offering...to assist us and attend to our every need...even got the Xmas tree lit up before we left at my request, so that we don't miss that...thank you Sithari....
Smiling faces of Norbet, Nidarshan and Dilanthi at meal times, again looking for ways to make our stay more comfortable and enjoyable....made it like home away from home....
Room boy Pathmanathan made sure our room was spotless and added a creative touch too...
Last, but not least is the little helper in green with a Santa hat, who is a long standing employee of the hotel as I was told, blessed us in the traditional way as we came....and was there with a smile always...just adding to the charm....
Thank you all for a wonderful experience...keep up the good work...as this is definitely the best of Sri Lankan hospitality. to assist us and attend to our every need...even got the Xmas tree lit up before we left at my request, so that we don't miss that...thank you Sithari....
Smiling faces of Norbet, Nidarshan and Dilanthi at meal times, again looking for ways to make our stay more comfortable and enjoyable....made it like home away from home....
Room boy Pathmanathan made sure our room was spotless and added a creative touch too...
Last, but not least is the little helper in green with a Santa hat, who is a long standing employee of the hotel as I was told, blessed us in the traditional way as we came....and was there with a smile always...just adding to the charm....
Thank you all for a wonderful experience...keep up the good work...as this is definitely the best of Sri Lankan hospitality...."
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: December 2023,The surrounding of the hotel is an amazing view. The staff here are very pleasant and friendly. Mr. Nuwan who works in the restaurant is really helpful and he satisfies the customer according to their preference. The rooms are clean and tidy. A place that...can be recommended and to be visited aga can be recommended and to be visited again.
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: July 2023,"Warm welcome by front staff...Personal attentions to our family of 7. Listened and catered for our personal needs. Great experience with the theme of “Sri Lankan Tea” withing the hotel premises. Really enjoyed and experienced tea processing from leaf to pack. Rooms are cozy. Restaurant,...bar, lobby and outdoor with 360 degree mountain view  are amazing. Sithari from front desk, Norbert from restaurant service, Jayanthi from tea processing facility did exceptional j bar, lobby and outdoor with 360 degree mountain view  are amazing. Sithari from front desk, Norbert from restaurant service, Jayanthi from tea processing facility did exceptional job…"
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: June 2023,I was in the restaurant for Dinner and breakfast for two days. Super food and service. Food variety at the buffet was excellent.
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: November 2022,As usual enjoyed the delicious lunch at Tea factory and pleased with the excellent service rendered by the friendly staff. Always enjoy visiting Tea factory hotel and recommend the place.
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: October 2022,"This time I took the family with me, because they wanted to feel the cold weather (we live in a country where the temperature is above 30 C each day). They have could feel the cold, the wind and the rain. We stayed two nights...and unfortunately we could not go outside. Luckily the team organised various activities for all of us, they explained our children how to play snooker! Another comfortable stay and sure that The Tea Factory is one of our favourit and unfortunately we could not go outside. Luckily the team organised various activities for all of us, they explained our children how to play snooker! Another comfortable stay and sure that The Tea Factory is one of our favourites."
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_40,Date of visit: May 2022,"We visited Tea Factory for one night and wished we had space in our itinerary to add atleast one more! Breathtaking scenery, Exceptional service and history all in one place. Thank you Nuwan and team for making our short stay memorable 💐"
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_10,Date of visit: April 2022,This hotel service is very bad.. they treat us not like a guest. Do not stay like this places anymore.. they provide my driver to accomadation also without heaters.
https://www.tripadvisor.com/Restaurant_Review-g608524-d1135038-Reviews-Tea_Factory_Hotel_Restaurant-Nuwara_Eliya_Central_Province.html,bubble_50,Date of visit: March 2022,Great place with colonial atmosphere. One of the best food in Sri Lanka. Perfect service. Live Music is playing at evening.
