url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,,"I did not stay at the hotel, only came by for dinner and drinks on the terrace. I strongly recommend this for tourists. It’s a beautiful terrace and the history of the hotel is incredible. Worth the visit!"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: February 2020,"Nice location to chill, food was great especially the desserts, staff were nice but not everyone was proactive, great value for money, had a surprise visit from a squirrel too 😄"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: December 2019,"Excellent location, atmosphere and food.... great table/waiter service from Viraj as well - very professional, helpful and pleasant - makes a huge difference for a hotel stay. Lovely old Colonial style and elegance.More"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_10,Date of visit: November 2019,Food is too spicy and no taste apart from burning your mouth because its too hot. Dirty sea area view.More
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: August 2019,"Great spot to see the sunset over the Ocean, happy hour is well worth it, try a Beer Tower if there are say four of you.More"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: April 2019,"Thank you very much for your excellent service all the time. Specailly, I would like to thanks Terrace restaurant manger Mr. Nilantha led by other staff. Nilantha hanks again always care of us and we always enjoy terrace with your excellent staff. all the best....hope to visit again next july. Shinkai from Ja hope to visit again next july. Shinkai from Japan"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_20,Date of visit: January 2019,"I have been coming to my favorite Hotel Mount Lavinia for 20 years. Unfortunately, the level has fallen massively for some time. Catastrophic service. I waited 20 minutes again at a table on the terrace. While greeted remotely by a waiter, no menu, no drink....After 20 minutes gone. And that the menu I know well from before is no longer different from pizza fast food restaurants is simply unworthy of this ho After 20 minutes gone. And that the menu I know well from before is no longer different from pizza fast food restaurants is simply unworthy of this hotel"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_10,Date of visit: December 2018,"Terrible, terrible, terrible and none of waiter wants to serve you nor is the quality of food is good. Be ready to fall sick and wait in eternity for your food/ drinks to arrive. Even if served, then you are blessed person for the day....Rude and arrogance is the buzz word of this restaurant Rude and arrogance is the buzz word of this restaurant!!!"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: July 2018,"This is a great spot to sit as the sun goes down and see the beachfront.  The breeze and setting is beautiful.  Totally recommend.  It can be busy, so do book in advance.  The food is very good, Sri Lankan type which includes curry, rice...dishes and medium spice.  They have a great range.  You can also order western food too.  The staff are a little slow at getting drinks out, I had to ask a waiter twice, waiting over 20 minutes for a coke.  It's a great spot for couples as it gets dark, not so much for us with a toddler.  We ate inside night 2.  Do try, it's love dishes and medium spice.  They have a great range.  You can also order western food too.  The staff are a little slow at getting drinks out, I had to ask a waiter twice, waiting over 20 minutes for a coke.  It's a great spot for couples as it gets dark, not so much for us with a toddler.  We ate inside night 2.  Do try, it's lovely."
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: July 2018,What a lovely location and the setting was just perfect for our anniversary dinner! But managed by barely 3 men who were running down to serve!!! majorly understaffed!!More
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: July 2018,The view of the pool and sea is excellent. The food same as the Governes  restaurant. The service O K.More
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_30,Date of visit: July 2018,"Unfortunately this Terrace is not exclusively for Hotel guests only so can become really cowed + overrun.

It can feel like it’s a public pool area, not what you’d expect when staying here.

Families come for lunch, many children are in supervised + run riot....Unpleasant.

The terrace itself is lovely.

The management need to re think acce Unpleasant.

The terrace itself is lovely.

The management need to re think access."
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: April 2018,"Lovely place to have a glass of wine, gaze into the city skyline and listen to the waves at night...some days you get live music as wel."
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: April 2018,"Great choice of food, always cooked perfectly or you can just have a drink if you wish.  With views over to Colombo and amazing sunsets"
https://www.tripadvisor.com/Restaurant_Review-g499079-d7605706-Reviews-The_Terrace-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_50,Date of visit: March 2018,The terrace of the Mount Lavinia Hotel offers an amazing sea view and als a great view on the city of colombo. Watching the sun set with while having a cocktail is very enjoyable and relaxing.
https://www.tripadvisor.com/Restaurant_Review-g499079-d12154083-Reviews-Harpo_s_Pizza_Pasta-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: September 2019,Price is reasonable and it is thin crust and have different tastes..It takes little time to prepare.You can see the wood oven burning and the cooks working inside.Taste is very good.
https://www.tripadvisor.com/Restaurant_Review-g499079-d12154083-Reviews-Harpo_s_Pizza_Pasta-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_40,Date of visit: April 2019,I went to this outlet with some of my friends for dinner. The place is very clean and the service is very good. The staff are very friendly and the pizzas are simply delicious.
https://www.tripadvisor.com/Restaurant_Review-g499079-d12154083-Reviews-Harpo_s_Pizza_Pasta-Dehiwala_Mount_Lavinia_Western_Province.html,bubble_10,Date of visit: March 2019,Just walked up and down Galle road about 10 times looking for this place to be told it’s no longer at the address on this page! Waste of our evening!
