url,review_rating,review_date,review
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"Thank you Trustpilot for sharing this amazing restaurant with us. 
Off the main road it was a hidden gem. 
Lovely ambience, fabulous deco and great service. 
We then had the best meal! 
Highly recommend"
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: February 2024,"My sister and I loved the dinner we had here. The team was friendly and welcoming from the moment we entered. We enjoyed the fresh mocktails, delicious main dishes of octopus and also the vegetarian cauliflower. The desserts were also great making it an all...round positive experience. The peaceful location off the busy main street in Unawatuna is also a highlig round positive experience. The peaceful location off the busy main street in Unawatuna is also a highlight."
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"We had high expectations of The Social, as their online profile is slick & enticing. Wow, they did not disappoint! The setting is both relaxed & stylish, with beautiful details everywhere you look. We were really impressed with the well curated menu + knowledgeable/ personable...staff. 

The food was sublime. We ate here twice during our stay, as we wanted to try several dishes (all fantastic). The wine choices were also good, and our bottle arrived chilled to perfection. 

A highly recommended experien staff. 

The food was sublime. We ate here twice during our stay, as we wanted to try several dishes (all fantastic). The wine choices were also good, and our bottle arrived chilled to perfection. 

A highly recommended experience."
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"We had dinner here at this wonderfull restaurant twice at our stay in Unawatuna. All about this place is absolutely fantastic - the waiters were very friendly, helpful and informativ abort the menu - and the food was absolutely amazing. If you are in Unawatuna...you should definitely choose to eat her you should definitely choose to eat here🌟🌟"
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"Sri Lanka has really started to nail ‘semi fine dining’ and honestly these guys epitomise it. 

Incredible quality food: the dishes were all PERFECTLY balanced, interesting, unusual and exciting. They were multi faceted with unusual elements dotted throughout. The tuna starter was honestly on par...with food I’ve had at some of the top restaurants in London - as a dish, it was perfect. Hugest complements to the chef, the culinary expertise was absolutely superb. 

The staff were so friendly and attentive, the outdoor setting is beautifully cool with good powerful fans and the whole vibe is just wonderfully chic and relaxed. 

I hope this never gets dragged into ‘more costly’ or ‘less quality’ territory over time because honestly this place is a true gem. 

Thank you for a gorgeous eveni with food I’ve had at some of the top restaurants in London - as a dish, it was perfect. Hugest complements to the chef, the culinary expertise was absolutely superb. 

The staff were so friendly and attentive, the outdoor setting is beautifully cool with good powerful fans and the whole vibe is just wonderfully chic and relaxed. 

I hope this never gets dragged into ‘more costly’ or ‘less quality’ territory over time because honestly this place is a true gem. 

Thank you for a gorgeous evening."
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"Wonderful place, food and athmosphere. Good prices as well. Staff is very kind. The restaurant should be full everyday. The best in Unawatuna."
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: February 2024,This was the best restaurant in the area. The food and service was amazing and the open dining felt very local. Compliments to the chef.
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,"This place can beat most of eouropian restaurants! Every dish is a masterpiece)) My respect to the chief! 
The slow cooked pork is a miracle!"
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: March 2024,We came here for lunch while at unawatuna beach. Excellent food and great service. Great setting also. Would highly recommend.
https://www.tripadvisor.com/Restaurant_Review-g644047-d2490872-Reviews-The_Social_Unawatuna-Unawatuna_Galle_District_Southern_Province.html,bubble_50,Date of visit: February 2024,"The food was great, the waiters were very friendly and it was a nice atmosphere in the restaurant. Next time in Unawatuna we will come back!"
