text,rating,,,
good food plenty food options,4.5,,,
reasonable prices,4.5,,,
good service,4.5,,,
went breakfast lunch family group overall happy place,3.5,,,
locals best around,4,,,
got order wrong dishes huge touristy prices higher local dishes,2.5,,,
decent selection food even bakery next door try rice curry pork pretty spicy people probably take spice 2 meat 2 veg plus drink cost 450,4,,,
staff very attentive,5,,,
need note eating dinner mosquitoes eating,2,,,
reasonably price,4.5,,,
tasty food,5,,,
serves sri lankan buffet along fried rice kitty serve pork certain days red rice well ,3,,,
restaurant faces main road rush needs quick food try this pastry shop well,4,,,
tried chiken kottu fried rice pasta kottu perfect food and snacks,4.5,,,
parking looking great,5,,,
greate affordable food,5,,,
food options limited,3,,,
specious place,4.5,,,
prices reasonable,4,,,
huge place,4,,,
good quick meal,5,,,
walkers wonderful restaurant,3.5,,,
serves good food,4.5,,,
relatively low prices,4,,,
 good meal  ,5,,,
cost less,5,,,
food fresh kept warm also need snacks also available ,4.5,,,
reasonable prices,4.5,,,
ideal place,5,,,
town make point visit walkers,5,,,
self service cafe style,3,,,
meals good value,4,,,
good budget food,4.5,,,
buffet delicious really load plate variety meat vegetarian dishes really hot restaurant worth food didnt go take away style,3,,,
shop next door looked pretty impressive,3.5,,,
considering offer area would say good choice food ok,3,,,
dont like spicy food,1,,,
staff kind service,4,,,
recommended guesthouse also lonely planet could give less 1 star would give food cold chicken chewy fish dried fish good thiswas far worst sri lankan curry I ever have disappointed,0.5,,,
staff friendly ,4.5,,,
sri lankan buffet usual range food eat quickly food cold,2.5,,,
provides tasty sri lankan food various meat vegetables,4,,,
good simple place,4.5,,,
food service simply amazing definitely come back,4,,,
price is good,4.5,,,
curry 's lacked flavour disappointing garlic naan nice could barely taste garlic would return,0.5,,,
basis fancied eating place,3.5,,,
good call staff,4,,,
efficient perhaps as friendly places,4,,,
ate ordered half tandoori chicken paneer makhani chapati lemon soda served sugar syrup mango lassi food really really good tandoori chicken cooked perfection amazing flavours also packed nice kick heat paneer dish great packed flavours mango lassi really good best ive certainly top 10 quality,5,,,
great value exceptional,4.5,,,
friendly places,4,,,
good food potion size,4,,,
place swarming people think 's usually busy place plenty customers n't really care give attention,3.5,,,
ok place,3,,,
nothing special food  n pick menu,3,,,
waiter passed us twice never bothered bring usbills however arrive super fast,1,,,
good service,4,,,
delicious dinner went based recommendations food,4,,,
lovely bakery next door,3.5,,,
great little spot,5,,,
 little bit expensive places worth money,3.5,,,
suggesting many food items,3,,,
good place,4,,,
food insanely tasty,5,,,
great value money ,5,,,
well priced,5,,,
indian food chicken vindaloo got little much bones left beside food good,3.5,,,
good clean nice foods dilishesss,5,,,
staff freindly fast one boy service,4.5,,,
friendly hotel restaurant,3.5,,,
staff freindly and served food fastly,5,,,
received great service,5,,,
located easy access convenient stop way north sri lanka decent place,5,,,
clean neat place,5,,,
dine good service friendly staff,4.5,,,
visited place taste indian food and meals cold,4,,,
bad service experienced,1,,,
service bad waiters careless dont know customer care,0.5,,,
 worst place dont recommend place,0.5,,,
restaurant spacious,4,,,
lunch thali sumptuous food tasty ,5,,,
service courteous,4.5,,,
ala carte food little pricier reasonable considering prime location restaurant,3.5,,,
ample parking space,5,,,
location of restaurant main road makes easier access,4.5,,,
notice recent unacceptable price,3.5,,,
high quality food,5,,,
service really terrible wasnt friendly slow hangry plz dont go,1,,,
indefinitely retain place higher end market due reviews please avoid place,1,,,
slow service,1,,,
service charge increased bil,0.5,,,
average price compared local restaurants,3,,,
nice customer care,4,,,
first time family see rate brothers birthday im happy service definitely visit place,4.5,,,
service fee is higher,2,,,
veggie noodles without vegetabels poor taste dosa hard filled masalathe,1.5,,,
side dishes dirty plates flavour table cloth dirty,0.5,,,
tasty rice curry nice,4,,,
location always bussy,2.5,,,
restaurant service excellent,5,,,
restaurant fully busy,2.5,,,
waiters cooks manager done excellent job recommend visitors,5,,,
bussy restaurant want get experience,3,,,
food excellent,5,,,
service also good limited staff eye detail,4,,,
best food service,5,,,
restaurant good service,4.5,,,
restaurant good occasion dinner chilled beer calm relax place,5,,,
good sevice,4.5,,,
good taste of foods,4.5,,,
friendly staff excellent service highly recommend others,5,,,
