Sentence, Aspect, Rating
friendly helpful staff,  service, 3.935968319072176
great local cusine opted traditional rice curry werent disappointed and delicious,  food, 2.1616905569220344
staff great service attentiveness made us fellwelcome,  service, 4.470247577075217
great place vis welcome great place visit,  place, 4.8132368440033515
people friendly hospitality find place casuality best stay,  place, 4.066085037292114
food delicious kitchen super fast preper dish,  food, 3.7841795073956708
hotel perfect spend daysto rest take fly preper dish hotel perfect spend days rest take f rest take fly preper dish hotel perfect spend days rest take fly,  food, 3.8876539518023763
sat downstairs near river mosquitos everywheredont even think without coils,  place, 3.043292765819202
food is quite good,  food, 4.244185862671071
low prices,  price, 3.8876539518023763
friendly staff,  service, 3.935968319072176
close anuradhapura secred city and good environment echo friendly new experience,  place, 4.191140266653773
restaurant nice view malwathu oya tables arranged near river,  place, 3.85787714239805
foods also delicious,  food, 4.4229987334259775
accommodations good,  food, 4.191140266653773
small unique place lot privacy,  place, 4.066085037292114
good food beverages,  food, 4.427282571558431
reasonable prices,  price, 3.8876539518023763
good friendly staff,  service, 4.2394546339235735
place gorgeous right bank river,  place, 4.066085037292114
enjoyed lovely meal,  food, 4.0496364564974465
friendliness staff,  service, 3.935968319072176
beutiful spot,  place, 3.8876539518023763
staff friendly helpful help everything ask,  service, 3.935968319072176
manager staff friendly,  service, 3.935968319072176
went quick dinner indian chinese local food menu tried chinese food okay,  food, 3.951029691973637
wait time ordering since guests kitchen was busy,  place, 3.6712105825870864
 reasonable price,  price, 3.8876539518023763
delicious intimately cooked meal authentic local eatery,  food, 4.3052474635466265
super friendly team,  service, 3.7841795073956708
great meal little paradise vegan vegetarian liked food,  food, 3.8382467618231897
good price would recommend,  price, 4.191140266653773
waiter friendly even gave us complementary dessert,  service, 3.8510444084617492
simply great meal,  food, 4.7187607316135995
budget frills great value money,  price, 4.55677822691853
amazing tastes,  food, 4.158615977543251
owner staff attentive friendly service,  service, 3.958767461116411
place served best food since long time 's fix menu amazing one plates astonishing everything absolute dream,  place, 4.259048775313424
food excellent,  food, 4.666628623161506
inexpensive,  price, 3.8876539518023763
service great recommend,  service, 4.673290317072288
great place,  place, 4.735209312408266
enjoyed delicious food,  food, 4.559948865725245
atmosphere also nice one best place,  place, 4.066085037292114
cute small place,  place, 4.066085037292114
food good,  food, 4.427282571558431
waiter nice,  service, 3.988760155427652
get menu great chicken curry meal and food tasty,  food, 4.030180742386375
fast service,  service, 4.004166041956134
food really good,  food, 4.427282571558431
staff friendly 's,  service, 3.935968319072176
cute quiet place come back,  place, 4.066085037292114
lovely food,  food, 4.123796256707035
quiet neighbourhood nice green garden,  place, 3.8876539518023763
kind staff,  service, 3.935968319072176
best meal,  food, 4.243699806802775
great service,  service, 4.551250452761013
good price,  price, 4.191140266653773
food good,  food, 4.427282571558431
cook friendly and lovely,  service, 3.8876539518023763
lovely staff surprised us,  service, 3.935968319072176
great mild food spicy cuisine,  food, 4.55677822691853
extremely friendly great,  place, 4.3458239374351235
cute restaurant,  place, 3.85787714239805
lovely people hosting us,  food, 3.8876539518023763
remarkable price highly recommend,  price, 3.8876539518023763
warm ambiance diverse menu make perfect enjoyable evening,  place, 3.7852467254918754
attentive staff,  service, 4.045298110959724
delicious food exceeded expectations memorable experience,  food, 4.559948865725245
 family friendly dining spot,  place, 3.8876539518023763
